ISO2,Country,Region,Income,Year,GDP,Population
AL,Albania,Europe & Central Asia,Upper middle income,1996,3199641336,3168033
AE,United Arab Emirates,Middle East & North Africa,High income,1996,73571233996,2571020
AU,Australia,East Asia & Pacific,High income,1996,4.00303E+11,18311000
AT,Austria,Europe & Central Asia,High income,1996,2.37251E+11,7959017
BE,Belgium,Europe & Central Asia,High income,1996,2.81358E+11,10156637
BG,Bulgaria,Europe & Central Asia,Upper middle income,1996,10109612142,8362826
BR,Brazil,Latin America & Caribbean,Upper middle income,1996,8.50426E+11,164913306
CA,Canada,North America,High income,1996,6.28546E+11,29671900
CH,Switzerland,Europe & Central Asia,High income,1996,3.25386E+11,7071850
CL,Chile,Latin America & Caribbean,High income,1996,78039572222,14497826
CO,Colombia,Latin America & Caribbean,Upper middle income,1996,97160109278,38049038
CR,Costa Rica,Latin America & Caribbean,Upper middle income,1996,11818659720,3596732
CZ,Czech Republic,Europe & Central Asia,High income,1996,66985765439,10315241
DE,Germany,Europe & Central Asia,High income,1996,2.50367E+12,81914831
DK,Denmark,Europe & Central Asia,High income,1996,1.87632E+11,5263074
DO,Dominican Republic,Latin America & Caribbean,Upper middle income,1996,18241691857,8029113
DZ,Algeria,Middle East & North Africa,Upper middle income,1996,46941496780,29411415
ES,Spain,Europe & Central Asia,High income,1996,6.39488E+11,39889852
EE,Estonia,Europe & Central Asia,High income,1996,4746109767,1415594
FI,Finland,Europe & Central Asia,High income,1996,1.32099E+11,5124573
FR,France,Europe & Central Asia,High income,1996,1.60568E+12,59753100
GB,United Kingdom,Europe & Central Asia,High income,1996,1.40878E+12,58166950
GE,Georgia,Europe & Central Asia,Lower middle income,1996,3072845727,4491699
GR,Greece,Europe & Central Asia,High income,1996,1.45862E+11,10608800
HK,"Hong Kong SAR, China",East Asia & Pacific,High income,1996,1.59717E+11,6435500
HR,Croatia,Europe & Central Asia,High income,1996,23924115532,4557097
HU,Hungary,Europe & Central Asia,High income,1996,47561591418,10311238
ID,Indonesia,East Asia & Pacific,Lower middle income,1996,2.27715E+11,199914831
IE,Ireland,Europe & Central Asia,High income,1996,75880632560,3637510
IS,Iceland,Europe & Central Asia,High income,1996,7296621594,268916
IL,Israel,Middle East & North Africa,High income,1996,1.09957E+11,5692000
IT,Italy,Europe & Central Asia,High income,1996,1.32094E+12,56860281
JO,Jordan,Middle East & North Africa,Upper middle income,1996,6928359238,4716373
JP,Japan,East Asia & Pacific,High income,1996,4.83371E+12,125757000
KR,"Korea, Rep.",East Asia & Pacific,High income,1996,5.98099E+11,45524681
XK,Kosovo,Europe & Central Asia,Lower middle income,1996,1667724381,2059000
LB,Lebanon,Middle East & North Africa,Upper middle income,1996,13690217333,3070960
LT,Lithuania,Europe & Central Asia,High income,1996,8670033638,3601613
LU,Luxembourg,Europe & Central Asia,High income,1996,21375442556,414225
LV,Latvia,Europe & Central Asia,High income,1996,5970044666,2457222
MO,"Macao SAR, China",East Asia & Pacific,High income,1996,7079033411,393567
MD,Moldova,Europe & Central Asia,Lower middle income,1996,1695122174,3667748
MX,Mexico,Latin America & Caribbean,Upper middle income,1996,4.10976E+11,95687452
MK,FYROM,Europe & Central Asia,Upper middle income,1996,4651453634,1989443
MT,Malta,Middle East & North Africa,High income,1996,3570271558,379905
ME,Montenegro,Europe & Central Asia,Upper middle income,1996,964940039,611003
NL,Netherlands,Europe & Central Asia,High income,1996,4.46736E+11,15530498
NO,Norway,Europe & Central Asia,High income,1996,1.63518E+11,4381336
NZ,New Zealand,East Asia & Pacific,High income,1996,70140835299,3732000
PE,Peru,Latin America & Caribbean,Upper middle income,1996,55252414130,24441074
PL,Poland,Europe & Central Asia,High income,1996,1.59954E+11,38624370
PT,Portugal,Europe & Central Asia,High income,1996,1.2263E+11,10063945
AR,Argentina,Latin America & Caribbean,High income,1996,2.7215E+11,35419682
QA,Qatar,Middle East & North Africa,High income,1996,9059340385,522304
CN,China,East Asia & Pacific,Upper middle income,1996,8.63747E+11,1217550000
RO,Romania,Europe & Central Asia,Upper middle income,1996,37182938696,22619004
RU,Russian Federation,Europe & Central Asia,Upper middle income,1996,3.91725E+11,148160042
SG,Singapore,East Asia & Pacific,High income,1996,96403758865,3670704
SK,Slovak Republic,Europe & Central Asia,High income,1996,27821913815,5373361
SI,Slovenia,Europe & Central Asia,High income,1996,21480023017,1988628
SE,Sweden,Europe & Central Asia,High income,1996,2.88104E+11,8840998
TH,Thailand,East Asia & Pacific,Upper middle income,1996,1.83035E+11,60151472
TT,Trinidad and Tobago,Latin America & Caribbean,High income,1996,5625178930,1258364
TN,Tunisia,Middle East & North Africa,Lower middle income,1996,19587322786,9256037
TR,Turkey,Europe & Central Asia,Upper middle income,1996,1.81476E+11,59423208
UY,Uruguay,Latin America & Caribbean,High income,1996,20515543039,3248035
US,United States,North America,High income,1996,8.1002E+12,269394000
VN,Vietnam,East Asia & Pacific,Lower middle income,1996,24657470575,76372719
AL,Albania,Europe & Central Asia,Upper middle income,1997,2258513974,3148281
AE,United Arab Emirates,Middle East & North Africa,High income,1997,78839008445,2700010
AU,Australia,East Asia & Pacific,High income,1997,4.34568E+11,18517000
AT,Austria,Europe & Central Asia,High income,1997,2.13802E+11,7968041
BE,Belgium,Europe & Central Asia,High income,1997,2.54814E+11,10181245
BG,Bulgaria,Europe & Central Asia,Upper middle income,1997,11170057300,8312068
BR,Brazil,Latin America & Caribbean,Upper middle income,1997,8.832E+11,167545164
CA,Canada,North America,High income,1997,6.52825E+11,29987200
CH,Switzerland,Europe & Central Asia,High income,1997,2.86519E+11,7088906
CL,Chile,Latin America & Caribbean,High income,1997,84263550829,14694835
CO,Colombia,Latin America & Caribbean,Upper middle income,1997,1.06341E+11,38645411
CR,Costa Rica,Latin America & Caribbean,Upper middle income,1997,12552071488,3682725
CZ,Czech Republic,Europe & Central Asia,High income,1997,61792161168,10304131
DE,Germany,Europe & Central Asia,High income,1997,2.21869E+12,82034771
DK,Denmark,Europe & Central Asia,High income,1997,1.73538E+11,5284991
DO,Dominican Republic,Latin America & Caribbean,Upper middle income,1997,19842462997,8163472
DZ,Algeria,Middle East & North Africa,Upper middle income,1997,48177862502,29886839
ES,Spain,Europe & Central Asia,High income,1997,5.88692E+11,40057389
EE,Estonia,Europe & Central Asia,High income,1997,5066240419,1399535
FI,Finland,Europe & Central Asia,High income,1997,1.26833E+11,5139835
FR,France,Europe & Central Asia,High income,1997,1.45288E+12,59964851
GB,United Kingdom,Europe & Central Asia,High income,1997,1.55248E+12,58316954
GE,Georgia,Europe & Central Asia,Lower middle income,1997,3480564158,4349913
GR,Greece,Europe & Central Asia,High income,1997,1.43158E+11,10661259
HK,"Hong Kong SAR, China",East Asia & Pacific,High income,1997,1.77353E+11,6489300
HR,Croatia,Europe & Central Asia,High income,1997,23822087054,4534920
HU,Hungary,Europe & Central Asia,High income,1997,47290180589,10290486
ID,Indonesia,East Asia & Pacific,Lower middle income,1997,2.11072E+11,202826465
IE,Ireland,Europe & Central Asia,High income,1997,82826146132,3674171
IS,Iceland,Europe & Central Asia,High income,1997,7548912105,271128
IL,Israel,Middle East & North Africa,High income,1997,1.14725E+11,5836000
IT,Italy,Europe & Central Asia,High income,1997,1.23905E+12,56890372
JO,Jordan,Middle East & North Africa,Upper middle income,1997,7246188575,4832267
JP,Japan,East Asia & Pacific,High income,1997,4.41473E+12,126057000
KR,"Korea, Rep.",East Asia & Pacific,High income,1997,5.57503E+11,45953580
XK,Kosovo,Europe & Central Asia,Lower middle income,1997,1805918909,2086000
LB,Lebanon,Middle East & North Africa,Upper middle income,1997,15751867489,3092670
LT,Lithuania,Europe & Central Asia,High income,1997,10166201744,3575137
LU,Luxembourg,Europe & Central Asia,High income,1997,19731912494,419450
LV,Latvia,Europe & Central Asia,High income,1997,6478427826,2432851
MO,"Macao SAR, China",East Asia & Pacific,High income,1997,7280612968,401564
MD,Moldova,Europe & Central Asia,Lower middle income,1997,1930081169,3654208
MX,Mexico,Latin America & Caribbean,Upper middle income,1997,5.00413E+11,97281739
MK,FYROM,Europe & Central Asia,Upper middle income,1997,3928975904,1999599
MT,Malta,Middle East & North Africa,High income,1997,3705372039,382791
ME,Montenegro,Europe & Central Asia,Upper middle income,1997,1036148259,609520
NL,Netherlands,Europe & Central Asia,High income,1997,4.14194E+11,15610650
NO,Norway,Europe & Central Asia,High income,1997,1.61354E+11,4405157
NZ,New Zealand,East Asia & Pacific,High income,1997,66074513018,3781300
PE,Peru,Latin America & Caribbean,Upper middle income,1997,58147522523,24827406
PL,Poland,Europe & Central Asia,High income,1997,1.59118E+11,38649660
PT,Portugal,Europe & Central Asia,High income,1997,1.17046E+11,10108977
AR,Argentina,Latin America & Caribbean,High income,1997,2.92859E+11,35833969
QA,Qatar,Middle East & North Africa,High income,1997,11297802115,534608
CN,China,East Asia & Pacific,Upper middle income,1997,9.61604E+11,1230075000
RO,Romania,Europe & Central Asia,Upper middle income,1997,35838588170,22553978
RU,Russian Federation,Europe & Central Asia,Upper middle income,1997,4.0684E+11,147915307
SG,Singapore,East Asia & Pacific,High income,1997,99812094446,3796038
SK,Slovak Republic,Europe & Central Asia,High income,1997,27660149541,5383291
SI,Slovenia,Europe & Central Asia,High income,1997,20749140606,1985956
SE,Sweden,Europe & Central Asia,High income,1997,2.64478E+11,8846062
TH,Thailand,East Asia & Pacific,Upper middle income,1997,1.5018E+11,60863506
TT,Trinidad and Tobago,Latin America & Caribbean,High income,1997,5737751332,1260678
TN,Tunisia,Middle East & North Africa,Lower middle income,1997,20746360430,9384152
TR,Turkey,Europe & Central Asia,Upper middle income,1997,1.89835E+11,60372499
UY,Uruguay,Latin America & Caribbean,High income,1997,23969823010,3271010
US,United States,North America,High income,1997,8.60852E+12,272657000
VN,Vietnam,East Asia & Pacific,Lower middle income,1997,26843700442,77453335
AL,Albania,Europe & Central Asia,Upper middle income,1998,2545964541,3128530
AE,United Arab Emirates,Middle East & North Africa,High income,1998,75674336283,2838145
AU,Australia,East Asia & Pacific,High income,1998,3.98899E+11,18711000
AT,Austria,Europe & Central Asia,High income,1998,2.1826E+11,7976789
BE,Belgium,Europe & Central Asia,High income,1998,2.61456E+11,10203008
BG,Bulgaria,Europe & Central Asia,Upper middle income,1998,14942172234,8256786
BR,Brazil,Latin America & Caribbean,Upper middle income,1998,8.63723E+11,170170640
CA,Canada,North America,High income,1998,6.31813E+11,30247900
CH,Switzerland,Europe & Central Asia,High income,1998,2.95045E+11,7110001
CL,Chile,Latin America & Caribbean,High income,1998,81577430181,14887756
CO,Colombia,Latin America & Caribbean,Upper middle income,1998,98443739941,39234062
CR,Costa Rica,Latin America & Caribbean,Upper middle income,1998,13404179724,3767373
CZ,Czech Republic,Europe & Central Asia,High income,1998,66490372105,10294373
DE,Germany,Europe & Central Asia,High income,1998,2.21795E+12,82047195
DK,Denmark,Europe & Central Asia,High income,1998,1.76992E+11,5304219
DO,Dominican Republic,Latin America & Caribbean,Upper middle income,1998,21722110432,8296375
DZ,Algeria,Middle East & North Africa,Upper middle income,1998,48187747529,30335732
ES,Spain,Europe & Central Asia,High income,1998,6.17042E+11,40223509
EE,Estonia,Europe & Central Asia,High income,1998,5617109245,1386156
FI,Finland,Europe & Central Asia,High income,1998,1.33241E+11,5153498
FR,France,Europe & Central Asia,High income,1998,1.50311E+12,60186288
GB,United Kingdom,Europe & Central Asia,High income,1998,1.65868E+12,58487141
GE,Georgia,Europe & Central Asia,Lower middle income,1998,3613500133,4243607
GR,Greece,Europe & Central Asia,High income,1998,1.44428E+11,10720509
HK,"Hong Kong SAR, China",East Asia & Pacific,High income,1998,1.68886E+11,6543700
HR,Croatia,Europe & Central Asia,High income,1998,25432144400,4532135
HU,Hungary,Europe & Central Asia,High income,1998,48770466839,10266570
ID,Indonesia,East Asia & Pacific,Lower middle income,1998,95445547873,205715544
IE,Ireland,Europe & Central Asia,High income,1998,90866305129,3712696
IS,Iceland,Europe & Central Asia,High income,1998,8453704212,274047
IL,Israel,Middle East & North Africa,High income,1998,1.15979E+11,5971000
IT,Italy,Europe & Central Asia,High income,1998,1.26631E+12,56906744
JO,Jordan,Middle East & North Africa,Upper middle income,1998,7912327362,4927912
JP,Japan,East Asia & Pacific,High income,1998,4.09228E+12,126400000
KR,"Korea, Rep.",East Asia & Pacific,High income,1998,3.74241E+11,46286503
XK,Kosovo,Europe & Central Asia,Lower middle income,1998,1859964449,1966000
LB,Lebanon,Middle East & North Africa,Upper middle income,1998,17341882348,3113951
LT,Lithuania,Europe & Central Asia,High income,1998,11226325451,3549331
LU,Luxembourg,Europe & Central Asia,High income,1998,20209122027,424700
LV,Latvia,Europe & Central Asia,High income,1998,7298219129,2410019
MO,"Macao SAR, China",East Asia & Pacific,High income,1998,6742367273,409837
MD,Moldova,Europe & Central Asia,Lower middle income,1998,1698717505,3652732
MX,Mexico,Latin America & Caribbean,Upper middle income,1998,5.26502E+11,98821456
MK,FYROM,Europe & Central Asia,Upper middle income,1998,3756208791,2012057
MT,Malta,Middle East & North Africa,High income,1998,3923637971,385287
ME,Montenegro,Europe & Central Asia,Upper middle income,1998,1088412045,607662
NL,Netherlands,Europe & Central Asia,High income,1998,4.32476E+11,15707209
NO,Norway,Europe & Central Asia,High income,1998,1.54165E+11,4431464
NZ,New Zealand,East Asia & Pacific,High income,1998,56227696195,3815000
PE,Peru,Latin America & Caribbean,Upper middle income,1998,55501467877,25199748
PL,Poland,Europe & Central Asia,High income,1998,1.74388E+11,38663481
PT,Portugal,Europe & Central Asia,High income,1998,1.23757E+11,10160196
AR,Argentina,Latin America & Caribbean,High income,1998,2.98948E+11,36241590
QA,Qatar,Middle East & North Africa,High income,1998,10255495027,550430
CN,China,East Asia & Pacific,Upper middle income,1998,1.02904E+12,1241935000
RO,Romania,Europe & Central Asia,Upper middle income,1998,41976002704,22507344
RU,Russian Federation,Europe & Central Asia,Upper middle income,1998,2.70955E+11,147670692
SG,Singapore,East Asia & Pacific,High income,1998,85707636233,3927213
SK,Slovak Republic,Europe & Central Asia,High income,1998,29901737039,5390516
SI,Slovenia,Europe & Central Asia,High income,1998,22125435372,1981629
SE,Sweden,Europe & Central Asia,High income,1998,2.63824E+11,8850974
TH,Thailand,East Asia & Pacific,Upper middle income,1998,1.15796E+11,61597283
TT,Trinidad and Tobago,Latin America & Caribbean,High income,1998,6043694330,1262542
TN,Tunisia,Middle East & North Africa,Lower middle income,1998,22079236834,9499395
TR,Turkey,Europe & Central Asia,Upper middle income,1998,2.75769E+11,61329590
UY,Uruguay,Latin America & Caribbean,High income,1998,25385928198,3292138
US,United States,North America,High income,1998,9.08917E+12,275854000
VN,Vietnam,East Asia & Pacific,Lower middle income,1998,27209602050,78452897
AL,Albania,Europe & Central Asia,Upper middle income,1999,3235569273,3108778
AE,United Arab Emirates,Middle East & North Africa,High income,1999,84445473111,2988162
AU,Australia,East Asia & Pacific,High income,1999,3.88395E+11,18926000
AT,Austria,Europe & Central Asia,High income,1999,2.17186E+11,7992324
BE,Belgium,Europe & Central Asia,High income,1999,2.60202E+11,10226419
BG,Bulgaria,Europe & Central Asia,Upper middle income,1999,13531969309,8210624
BR,Brazil,Latin America & Caribbean,Upper middle income,1999,6.11835E+11,172759243
CA,Canada,North America,High income,1999,6.76083E+11,30499200
CH,Switzerland,Europe & Central Asia,High income,1999,2.89912E+11,7143991
CL,Chile,Latin America & Caribbean,High income,1999,73923622616,15076952
CO,Colombia,Latin America & Caribbean,Upper middle income,1999,86186158685,39819279
CR,Costa Rica,Latin America & Caribbean,Upper middle income,1999,14195623343,3848723
CZ,Czech Republic,Europe & Central Asia,High income,1999,64867483193,10283860
DE,Germany,Europe & Central Asia,High income,1999,2.19996E+12,82100243
DK,Denmark,Europe & Central Asia,High income,1999,1.77965E+11,5321799
DO,Dominican Republic,Latin America & Caribbean,Upper middle income,1999,22288540227,8429112
DZ,Algeria,Middle East & North Africa,Upper middle income,1999,48640574567,30765613
ES,Spain,Europe & Central Asia,High income,1999,6.33194E+11,40386875
EE,Estonia,Europe & Central Asia,High income,1999,5726897998,1390244
FI,Finland,Europe & Central Asia,High income,1999,1.35226E+11,5165474
FR,France,Europe & Central Asia,High income,1999,1.49265E+12,60496718
GB,United Kingdom,Europe & Central Asia,High income,1999,1.65443E+12,58682466
GE,Georgia,Europe & Central Asia,Lower middle income,1999,2800024338,4157192
GR,Greece,Europe & Central Asia,High income,1999,1.42541E+11,10761698
HK,"Hong Kong SAR, China",East Asia & Pacific,High income,1999,1.65768E+11,6606500
HR,Croatia,Europe & Central Asia,High income,1999,23386945603,4512597
HU,Hungary,Europe & Central Asia,High income,1999,49170434391,10237530
ID,Indonesia,East Asia & Pacific,Lower middle income,1999,1.40001E+11,208612556
IE,Ireland,Europe & Central Asia,High income,1999,98691849563,3754786
IS,Iceland,Europe & Central Asia,High income,1999,8917286036,277381
IL,Israel,Middle East & North Africa,High income,1999,1.1719E+11,6125000
IT,Italy,Europe & Central Asia,High income,1999,1.24856E+12,56916317
JO,Jordan,Middle East & North Africa,Upper middle income,1999,8149106065,5014899
JP,Japan,East Asia & Pacific,High income,1999,4.56208E+12,126631000
KR,"Korea, Rep.",East Asia & Pacific,High income,1999,4.85248E+11,46616677
XK,Kosovo,Europe & Central Asia,Lower middle income,1999,1763869399,1762000
LB,Lebanon,Middle East & North Africa,Upper middle income,1999,17391056369,3156646
LT,Lithuania,Europe & Central Asia,High income,1999,10972878636,3524238
LU,Luxembourg,Europe & Central Asia,High income,1999,22235929043,430475
LV,Latvia,Europe & Central Asia,High income,1999,7533187605,2390482
MO,"Macao SAR, China",East Asia & Pacific,High income,1999,6490571704,418604
MD,Moldova,Europe & Central Asia,Lower middle income,1999,1170782957,3647001
MX,Mexico,Latin America & Caribbean,Upper middle income,1999,5.95934E+11,100300579
MK,FYROM,Europe & Central Asia,Upper middle income,1999,3863743409,2024394
MT,Malta,Middle East & North Africa,High income,1999,4127313818,387578
ME,Montenegro,Europe & Central Asia,Upper middle income,1999,1031758647,606001
NL,Netherlands,Europe & Central Asia,High income,1999,4.4287E+11,15812088
NO,Norway,Europe & Central Asia,High income,1999,1.62286E+11,4461913
NZ,New Zealand,East Asia & Pacific,High income,1999,58762260626,3835100
PE,Peru,Latin America & Caribbean,Upper middle income,1999,50187324568,25561299
PL,Poland,Europe & Central Asia,High income,1999,1.69718E+11,38660271
PT,Portugal,Europe & Central Asia,High income,1999,1.27466E+11,10217828
AR,Argentina,Latin America & Caribbean,High income,1999,2.8497E+11,36648068
QA,Qatar,Middle East & North Africa,High income,1999,12393131868,569447
CN,China,East Asia & Pacific,Upper middle income,1999,1.094E+12,1252735000
RO,Romania,Europe & Central Asia,Upper middle income,1999,36183003978,22472040
RU,Russian Federation,Europe & Central Asia,Upper middle income,1999,2.0127E+11,147214392
SG,Singapore,East Asia & Pacific,High income,1999,86283126844,3958723
SK,Slovak Republic,Europe & Central Asia,High income,1999,30020400137,5396020
SI,Slovenia,Europe & Central Asia,High income,1999,22485337147,1983045
SE,Sweden,Europe & Central Asia,High income,1999,2.70268E+11,8857874
TH,Thailand,East Asia & Pacific,Upper middle income,1999,1.26669E+11,62306651
TT,Trinidad and Tobago,Latin America & Caribbean,High income,1999,6879683128,1264775
TN,Tunisia,Middle East & North Africa,Lower middle income,1999,22943685719,9603742
TR,Turkey,Europe & Central Asia,Upper middle income,1999,2.57885E+11,62287326
UY,Uruguay,Latin America & Caribbean,High income,1999,23983945191,3309318
US,United States,North America,High income,1999,9.71665E+12,279040000
VN,Vietnam,East Asia & Pacific,Lower middle income,1999,28738937716,79391374
AL,Albania,Europe & Central Asia,Upper middle income,2000,3480355258,3089027
AE,United Arab Emirates,Middle East & North Africa,High income,2000,1.04337E+11,3154925
AU,Australia,East Asia & Pacific,High income,2000,4.15034E+11,19153000
AT,Austria,Europe & Central Asia,High income,2000,1.968E+11,8011566
BE,Belgium,Europe & Central Asia,High income,2000,2.37905E+11,10251250
BG,Bulgaria,Europe & Central Asia,Upper middle income,2000,13153016531,8170172
BR,Brazil,Latin America & Caribbean,Upper middle income,2000,6.55421E+11,175287587
CA,Canada,North America,High income,2000,7.42293E+11,30769700
CH,Switzerland,Europe & Central Asia,High income,2000,2.72055E+11,7184250
CL,Chile,Latin America & Caribbean,High income,2000,77860932152,15262754
CO,Colombia,Latin America & Caribbean,Upper middle income,2000,99886577331,40403958
CR,Costa Rica,Latin America & Caribbean,Upper middle income,2000,14949514493,3925443
CZ,Czech Republic,Europe & Central Asia,High income,2000,61649492817,10255063
DE,Germany,Europe & Central Asia,High income,2000,1.94995E+12,82211508
DK,Denmark,Europe & Central Asia,High income,2000,1.64159E+11,5339616
DO,Dominican Republic,Latin America & Caribbean,Upper middle income,2000,24305116729,8562622
DZ,Algeria,Middle East & North Africa,Upper middle income,2000,54790245601,31183660
ES,Spain,Europe & Central Asia,High income,2000,5.95403E+11,40567864
EE,Estonia,Europe & Central Asia,High income,2000,5704173981,1396985
FI,Finland,Europe & Central Asia,High income,2000,1.2554E+11,5176209
FR,France,Europe & Central Asia,High income,2000,1.36225E+12,60912500
GB,United Kingdom,Europe & Central Asia,High income,2000,1.64795E+12,58892514
GE,Georgia,Europe & Central Asia,Lower middle income,2000,3057453468,4077131
GR,Greece,Europe & Central Asia,High income,2000,1.30134E+11,10805808
HK,"Hong Kong SAR, China",East Asia & Pacific,High income,2000,1.71668E+11,6665000
HR,Croatia,Europe & Central Asia,High income,2000,21774273832,4468302
HU,Hungary,Europe & Central Asia,High income,2000,47310623887,10210971
ID,Indonesia,East Asia & Pacific,Lower middle income,2000,1.65021E+11,211540429
IE,Ireland,Europe & Central Asia,High income,2000,99853528653,3805174
IS,Iceland,Europe & Central Asia,High income,2000,8927140438,281205
IL,Israel,Middle East & North Africa,High income,2000,1.32339E+11,6289000
IT,Italy,Europe & Central Asia,High income,2000,1.14176E+12,56942108
JO,Jordan,Middle East & North Africa,Upper middle income,2000,8460424401,5103130
JP,Japan,East Asia & Pacific,High income,2000,4.88752E+12,126843000
KR,"Korea, Rep.",East Asia & Pacific,High income,2000,5.61633E+11,47008111
XK,Kosovo,Europe & Central Asia,Lower middle income,2000,1849196082,1700000
LB,Lebanon,Middle East & North Africa,Upper middle income,2000,17260364842,3235366
LT,Lithuania,Europe & Central Asia,High income,2000,11539211480,3499536
LU,Luxembourg,Europe & Central Asia,High income,2000,21263514833,436300
LV,Latvia,Europe & Central Asia,High income,2000,7937758980,2367550
MO,"Macao SAR, China",East Asia & Pacific,High income,2000,6720492406,427979
MD,Moldova,Europe & Central Asia,Lower middle income,2000,1288429392,3639592
MX,Mexico,Latin America & Caribbean,Upper middle income,2000,7.07907E+11,101719673
MK,FYROM,Europe & Central Asia,Upper middle income,2000,3772851420,2034819
MT,Malta,Middle East & North Africa,High income,2000,4306192436,390087
ME,Montenegro,Europe & Central Asia,Upper middle income,2000,997497719,604950
NL,Netherlands,Europe & Central Asia,High income,2000,4.12807E+11,15925513
NO,Norway,Europe & Central Asia,High income,2000,1.71316E+11,4490967
NZ,New Zealand,East Asia & Pacific,High income,2000,52622842840,3857700
PE,Peru,Latin America & Caribbean,Upper middle income,2000,51744749133,25914879
PL,Poland,Europe & Central Asia,High income,2000,1.71886E+11,38258629
